plz,einwohner,flaeche_km2,bbsr_kreistyp_dominant,bbsr_kreistyp_dominant_label,bbsr_kreistyp_methode_b,thuenen_index_gewichtet,thuenen_typ_dominant,thuenen_typ_dominant_label,thuenen_typ_methode_b,dominante_gemeinde_ags,dominante_gemeinde_name,dominante_gemeinde_anteil,anzahl_beteiligter_gemeinden,anzahl_beteiligter_kreise,methoden_konflikt_bbsr,methoden_konflikt_thuenen
01067,17519,6.866839,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01069,27310,5.339213,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01097,23757,3.298022,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01099,28409,58.505818,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01108,5871,16.447222,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01109,21528,24.736193,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01127,18133,3.216483,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01129,20950,7.413717,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01139,16958,8.437161,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01156,13112,31.752508,1,Kreisfreie Großstadt,1,-1.5023871262965223,5,nicht ländlich,5,14612000,Dresden,0.9248017083587553,2,2,False,False
01157,15863,8.061751,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01159,34001,5.922549,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01169,22492,4.856738,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01187,21204,5.097179,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01189,14076,5.3074,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01217,16194,5.876939,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01219,22737,6.948919,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01237,17616,4.280843,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01239,18975,5.726501,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01257,20449,8.275622,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01259,16150,10.373223,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01277,30733,4.867171,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01279,21046,4.891511,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01307,25597,3.668517,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01309,33648,4.725568,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01324,10308,4.629564,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01326,13079,15.591174,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01328,12545,41.238369,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01445,31724,26.354189,4,Dünn besiedelter ländlicher Kreis,4,0.045563926364897256,4,eher ländlich / gute sozioökonomische Lage,4,14627210,Radebeul,0.9312507880469045,2,2,False,False
01454,21492,68.136486,3,Ländlicher Kreis mit Verdichtungsansätzen,3,0.1955667225013959,4,eher ländlich / gute sozioökonomische Lage,4,14625480,Radeberg,0.7351572678205844,4,2,False,False
01458,9623,25.967265,3,Ländlicher Kreis mit Verdichtungsansätzen,3,0.36,4,eher ländlich / gute sozioökonomische Lage,4,14625430,Ottendorf-Okrilla,1.0,1,1,False,False
01465,4005,12.551722,1,Kreisfreie Großstadt,1,-1.64,5,nicht ländlich,5,14612000,Dresden,1.0,1,1,False,False
01468,7937,46.555329,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627150,Moritzburg,0.9901726092982235,2,1,False,False
01471,7388,54.176872,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627220,Radeburg,1.0,1,1,False,False
01477,4789,35.905858,3,Ländlicher Kreis mit Verdichtungsansätzen,3,0.36,4,eher ländlich / gute sozioökonomische Lage,4,14625010,Arnsdorf,1.0,1,1,False,False
01558,14385,44.098041,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627060,Großenhain,1.0,1,1,False,False
01561,19958,408.955089,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627030,Ebersbach,0.2174065537629021,6,1,False,False
01587,10676,7.476845,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627230,Riesa,1.0,1,1,False,False
01589,9361,15.410295,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627230,Riesa,1.0,1,1,False,False
01591,7658,16.636915,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627230,Riesa,1.0,1,1,False,False
01594,6583,86.2947,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627260,Stauchitz,0.4586054990126082,3,1,False,False
01609,10636,85.671082,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627050,Gröditz,0.6050206844678451,3,1,False,False
01612,7155,45.535858,4,Dünn besiedelter ländlicher Kreis,4,0.17,4,eher ländlich / gute sozioökonomische Lage,4,14627190,Nünchritz,0.7375262054507338,2,1,False,False
