1104550,8335001,Aach,78267,Landkreis Konstanz,Baden-Württemberg
1255910,7235001,Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
62564,5334002,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
62564,5334002,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
915486,8136088,Aalen,73430,Ostalbkreis,Baden-Württemberg
915486,8136088,Aalen,73431,Ostalbkreis,Baden-Württemberg
915486,8136088,Aalen,73432,Ostalbkreis,Baden-Württemberg
915486,8136088,Aalen,73433,Ostalbkreis,Baden-Württemberg
915486,8136088,Aalen,73434,Ostalbkreis,Baden-Württemberg
413109,6439001,Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
448770,1061001,Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
158409,9576111,Abenberg,91183,Landkreis Roth,Bayern
956651,9273111,Abensberg,93326,Landkreis Kelheim,Bayern
1244276,7134001,Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
1015097,9577111,Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
410485,8125001,Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
2389084,16065001,Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
915445,8136002,Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
537061,6431001,Abtsteinach,69518,Kreis Bergstraße,Hessen
283691,9675111,Abtswind,97355,Landkreis Kitzingen,Bayern
1244067,7133001,Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
2806596,8436001,Achberg,88147,Landkreis Ravensburg,Baden-Württemberg
452972,8317001,Achern,77855,Ortenaukreis,Baden-Württemberg
1182036,3361001,Achim,28832,Landkreis Verden,Niedersachsen
959175,9276111,Achslach,94250,Landkreis Regen,Bayern
2801019,8426001,Achstetten,88480,Landkreis Biberach,Baden-Württemberg
548033,7137001,Acht,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
1246405,7134002,Achtelsbach,55767,Landkreis Birkenfeld,Rheinland-Pfalz
548502,1058001,Achterwehr,24239,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
1417214,1054001,Achtrup,25917,Kreis Nordfriesland,Schleswig-Holstein
2825844,8117001,Adelberg,73099,Landkreis Göppingen,Baden-Württemberg
1399100,3159001,Adelebsen,37139,Landkreis Göttingen,Niedersachsen
1796300,3351001,Adelheidsdorf,29352,Landkreis Celle,Niedersachsen
915446,8136003,Adelmannsfelden,73486,Ostalbkreis,Baden-Württemberg
943553,9176111,Adelschlag,85111,Landkreis Eichstätt,Bayern
1016518,9572111,Adelsdorf,91325,Landkreis Erlangen-Höchstadt,Bayern
403733,8225001,Adelsheim,74740,Neckar-Odenwald-Kreis,Baden-Württemberg
534077,9571111,Adelshofen,91587,Landkreis Ansbach,Bayern
933549,9179111,Adelshofen,82276,Landkreis Fürstenfeldbruck,Bayern
452562,9772111,Adelsried,86477,Landkreis Augsburg,Bayern
163655,9771111,Adelzhausen,86559,Landkreis Aichach-Friedberg,Bayern
1060416,7131001,Adenau,53518,Landkreis Ahrweiler,Rheinland-Pfalz
1246784,7336001,Adenbach,67742,Landkreis Kusel,Rheinland-Pfalz
1363679,3151001,Adenbüttel,38528,Landkreis Gifhorn,Niedersachsen
1392133,3355001,Adendorf,21365,Landkreis Lüneburg,Niedersachsen
191347,9274111,Adlkofen,84166,Landkreis Landshut,Bayern
391131,13072001,Admannshagen-Bargeshagen,18211,Landkreis Rostock,Mecklenburg-Vorpommern
443610,14523010,Adorf/Vogtland,08626,Vogtlandkreis,Sachsen
448016,1061002,Aebtissinwisch,25572,Kreis Steinburg,Schleswig-Holstein
1169356,3252001,Aerzen,31855,Landkreis Hameln-Pyrmont,Niedersachsen
405290,8118001,Affalterbach,71563,Landkreis Ludwigsburg,Baden-Württemberg
393482,9771112,Affing,86444,Landkreis Aichach-Friedberg,Bayern
1992924,3251001,Affinghausen,27257,Landkreis Diepholz,Niedersachsen
1171872,7232001,Affler,54689,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
445842,3359001,Agathenburg,21684,Landkreis Stade,Niedersachsen
448765,1061003,Agethorst,25560,Kreis Steinburg,Schleswig-Holstein
403747,8225002,Aglasterhausen,74858,Neckar-Odenwald-Kreis,Baden-Württemberg
191355,9274112,Aham,84168,Landkreis Landshut,Bayern
162877,5554004,Ahaus,48683,Kreis Borken,Nordrhein-Westfalen
965596,3357001,Ahausen,27367,Landkreis Rotenburg (Wümme),Niedersachsen
1408072,13075001,Ahlbeck,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
1808860,3358001,Ahlden,29693,Landkreis Heidekreis,Niedersachsen
548612,1058175,Ahlefeld-Bistensee,24358,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
152285,5570004,Ahlen,59227,Kreis Warendorf,Nordrhein-Westfalen
152285,5570004,Ahlen,59229,Kreis Warendorf,Nordrhein-Westfalen
446435,3359002,Ahlerstedt,21702,Landkreis Stade,Niedersachsen
2409456,15087010,Ahlsdorf,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
1273264,16069001,Ahlstädt,98553,Landkreis Hildburghausen,Thüringen
530915,6633001,Ahnatal,34292,Landkreis Kassel,Hessen
1145086,1059102,Ahneby,24996,Kreis Schleswig-Flensburg,Schleswig-Holstein
1797682,3351002,Ahnsbeck,29353,Landkreis Celle,Niedersachsen
1169362,3257001,Ahnsen,31708,Landkreis Schaumburg,Niedersachsen
959667,9278112,Aholfing,94345,Landkreis Straubing-Bogen,Bayern
959803,9271111,Aholming,94527,Landkreis Deggendorf,Bayern
401808,8128138,Ahorn,74744,Main-Tauber-Kreis,Baden-Württemberg
956872,9473112,Ahorn,96482,Landkreis Coburg,Bayern
1071012,9472111,Ahorntal,95491,Landkreis Bayreuth,Bayern
1021829,7131002,Ahrbrück,53506,Landkreis Ahrweiler,Rheinland-Pfalz
382442,1055001,Ahrensbök,23623,Kreis Ostholstein,Schleswig-Holstein
453746,1062001,Ahrensburg,22926,Kreis Stormarn,Schleswig-Holstein
1318349,12060005,Ahrensfelde,16356,Landkreis Barnim,Brandenburg
